run_id,w_in_l1_sum,w_in_l0,w_rec_l1_sum,w_rec_l0,w_out_l1_sum,w_out_l0
run_040_l1-0.0001_beta0.0001_alpha0.1_trav50_blk1_temp0.0001,333.902587890625,12796,227.92979431152344,9409,120.92497253417969,1631
run_041_l1-0.0001_beta0.0001_alpha0.1_trav50_blk1_temp1.0,671.30859375,13051,932.3269653320312,9677,320.7350769042969,1666
run_042_l1-0.0001_beta0.001_alpha0.01_trav50_blk1_temp0.0001,380.63348388671875,11554,146.44302368164062,9342,232.2103729248047,1602
run_043_l1-0.0001_beta0.001_alpha0.01_trav50_blk1_temp1.0,683.1109619140625,12906,774.7098388671875,9565,314.7749938964844,1648
run_044_l1-0.0001_beta0.001_alpha0.03_trav50_blk1_temp0.0001,210.013916015625,9942,202.22584533691406,9084,104.20442199707031,1368
run_045_l1-0.0001_beta0.001_alpha0.03_trav50_blk1_temp1.0,656.472412109375,12951,705.404052734375,9556,299.9737548828125,1648
run_046_l1-0.0001_beta0.001_alpha0.1_trav50_blk1_temp0.0001,246.0838165283203,10665,222.864013671875,9195,108.57637023925781,1453
run_047_l1-0.0001_beta0.001_alpha0.1_trav50_blk1_temp1.0,665.1917724609375,12948,706.1593627929688,9540,295.7381591796875,1654
run_048_l1-0.0001_beta0.003_alpha0.01_trav50_blk1_temp0.0001,433.60504150390625,11743,196.98843383789062,9245,306.1653137207031,1569
run_049_l1-0.0001_beta0.003_alpha0.01_trav50_blk1_temp1.0,595.206787109375,12971,726.3499755859375,9548,292.6499328613281,1661
run_050_l1-0.0001_beta0.003_alpha0.03_trav50_blk1_temp0.0001,274.1458435058594,10466,249.6038818359375,9133,153.0709991455078,1427
run_051_l1-0.0001_beta0.003_alpha0.03_trav50_blk1_temp1.0,694.60791015625,12988,930.7866821289062,9593,289.0293273925781,1625
run_052_l1-0.0001_beta0.003_alpha0.1_trav50_blk1_temp0.0001,267.7168884277344,10321,295.53594970703125,9164,127.8692398071289,1398
run_053_l1-0.0001_beta0.003_alpha0.1_trav50_blk1_temp1.0,600.4991455078125,12938,722.5450439453125,9568,285.0867004394531,1653
run_054_dist-1e-05_beta0.0001_alpha0.01_trav50_blk1_temp0.0001,4824.94189453125,13299,150.656494140625,9424,2196.953125,1700
run_055_dist-1e-05_beta0.0001_alpha0.01_trav50_blk1_temp1.0,4638.13134765625,13300,4215.93896484375,9996,5013.78369140625,1700
run_056_dist-1e-05_beta0.0001_alpha0.03_trav50_blk1_temp0.0001,4222.09423828125,13300,293.53887939453125,7737,2345.802978515625,1700
run_057_dist-1e-05_beta0.0001_alpha0.03_trav50_blk1_temp1.0,4716.15625,13300,4372.11962890625,9985,5173.49169921875,1700
run_058_dist-1e-05_beta0.0001_alpha0.1_trav50_blk1_temp0.0001,4449.86572265625,13300,107.24046325683594,9517,2378.54638671875,1700
run_059_dist-1e-05_beta0.0001_alpha0.1_trav50_blk1_temp1.0,4902.55126953125,13300,4083.64208984375,9980,5525.154296875,1700
run_060_dist-1e-05_beta0.001_alpha0.01_trav50_blk1_temp0.0001,5988.1767578125,13300,791.4085083007812,8024,4559.23681640625,1700
run_061_dist-1e-05_beta0.001_alpha0.01_trav50_blk1_temp1.0,4763.88720703125,13300,4111.2451171875,9990,5093.00390625,1700
run_062_dist-1e-05_beta0.001_alpha0.03_trav50_blk1_temp0.0001,5401.71435546875,13299,894.213623046875,9217,5165.88525390625,1700
run_063_dist-1e-05_beta0.001_alpha0.03_trav50_blk1_temp1.0,4862.3466796875,13300,4129.44287109375,9972,4820.95458984375,1700
run_064_dist-1e-05_beta0.001_alpha0.1_trav50_blk1_temp0.0001,4691.86962890625,13300,766.5064086914062,7844,5672.91015625,1700
run_065_dist-1e-05_beta0.001_alpha0.1_trav50_blk1_temp1.0,4787.921875,13300,4123.97998046875,9987,5156.2734375,1700
run_066_dist-1e-05_beta0.003_alpha0.01_trav50_blk1_temp0.0001,5670.85791015625,13300,1333.385498046875,8808,5242.84521484375,1700
run_067_dist-1e-05_beta0.003_alpha0.01_trav50_blk1_temp1.0,4812.56884765625,13300,4359.1826171875,9999,5228.14599609375,1700
run_068_dist-1e-05_beta0.003_alpha0.03_trav50_blk1_temp0.0001,5076.62890625,13300,1299.30517578125,9086,5638.1591796875,1700
run_069_dist-1e-05_beta0.003_alpha0.03_trav50_blk1_temp1.0,4782.7451171875,13300,4036.7353515625,9987,5025.5361328125,1700
run_070_dist-1e-05_beta0.003_alpha0.1_trav50_blk1_temp0.0001,4869.4091796875,13300,1248.0968017578125,8548,5586.60546875,1700
run_071_dist-1e-05_beta0.003_alpha0.1_trav50_blk1_temp1.0,4673.68505859375,13300,3908.235107421875,9993,4894.31298828125,1700
run_072_dist-0.0001_beta0.0001_alpha0.01_trav50_blk1_temp0.0001,4805.4638671875,13300,201.98440551757812,7246,2124.799560546875,1700
run_073_dist-0.0001_beta0.0001_alpha0.01_trav50_blk1_temp1.0,4781.15673828125,13300,2140.605224609375,9828,4923.94189453125,1700
run_074_dist-0.0001_beta0.0001_alpha0.03_trav50_blk1_temp0.0001,4437.49560546875,13300,143.971923828125,9203,2185.826171875,1700
run_075_dist-0.0001_beta0.0001_alpha0.03_trav50_blk1_temp1.0,4620.9013671875,13299,2021.88671875,9885,4769.38525390625,1700
run_076_dist-0.0001_beta0.0001_alpha0.1_trav50_blk1_temp0.0001,4229.0576171875,13299,140.53082275390625,9091,2399.491455078125,1700
run_077_dist-0.0001_beta0.0001_alpha0.1_trav50_blk1_temp1.0,4717.09619140625,13299,2006.83642578125,9884,4663.96337890625,1700
run_078_dist-0.0001_beta0.001_alpha0.01_trav50_blk1_temp0.0001,5872.68798828125,13299,263.56817626953125,7523,3832.594482421875,1700
run_079_dist-0.0001_beta0.001_alpha0.01_trav50_blk1_temp1.0,4655.37109375,13299,1957.33935546875,9799,4768.25,1700
run_080_dist-0.0001_beta0.001_alpha0.03_trav50_blk1_temp0.0001,5040.0712890625,13300,226.1472625732422,7532,4453.31103515625,1700
run_081_dist-0.0001_beta0.001_alpha0.03_trav50_blk1_temp1.0,4810.939453125,13300,1935.60595703125,9831,4621.30859375,1700
run_082_dist-0.0001_beta0.001_alpha0.1_trav50_blk1_temp0.0001,4819.8466796875,13299,401.87725830078125,8009,4589.92919921875,1700
run_083_dist-0.0001_beta0.001_alpha0.1_trav50_blk1_temp1.0,4692.08837890625,13300,1935.4063720703125,9804,4556.33837890625,1700
run_084_dist-0.0001_beta0.003_alpha0.01_trav50_blk1_temp0.0001,5715.00634765625,13300,504.737548828125,7702,4504.94287109375,1700
run_085_dist-0.0001_beta0.003_alpha0.01_trav50_blk1_temp1.0,4737.248046875,13300,2109.307861328125,9870,4470.99462890625,1700
run_086_dist-0.0001_beta0.003_alpha0.03_trav50_blk1_temp0.0001,5051.29833984375,13299,460.94268798828125,9337,4991.15478515625,1700
run_087_dist-0.0001_beta0.003_alpha0.03_trav50_blk1_temp1.0,4678.93505859375,13300,1990.4630126953125,9834,4673.51220703125,1700
run_088_dist-0.0001_beta0.003_alpha0.1_trav50_blk1_temp0.0001,5155.88330078125,13300,482.9879150390625,7714,4984.94677734375,1700
run_089_dist-0.0001_beta0.003_alpha0.1_trav50_blk1_temp1.0,4693.25439453125,13300,1972.9715576171875,9801,4646.08056640625,1700
run_090_l1-1e-06_beta0.0001_alpha0.01_trav500_blk1_temp0.0001,768.8082885742188,12513,546.7613525390625,9315,432.435302734375,1567
run_091_l1-1e-06_beta0.0001_alpha0.01_trav500_blk1_temp1.0,4219.88330078125,13299,4602.0966796875,9997,3076.29345703125,1699
run_092_l1-1e-06_beta0.0001_alpha0.03_trav500_blk1_temp0.0001,863.5147705078125,12737,715.9556884765625,9426,449.7635498046875,1612
run_093_l1-1e-06_beta0.0001_alpha0.03_trav500_blk1_temp1.0,4162.36767578125,13300,4542.76611328125,9998,2748.623291015625,1700
