run_id,cohort,task,samp_frac,final_acc,steps_to_crit,total_train_steps
run_617_dist-1e-05_beta0.0001_alpha0.01_trav500_blk1_temp1.0_eps-0.01,C-both,poli.catdlyms,0.05025166666666667,0.8652580434841212,10884,600000
run_617_dist-1e-05_beta0.0001_alpha0.01_trav500_blk1_temp1.0_eps-0.01,C-both,poli.rtgo,0.050236666666666666,0.9999999999999994,1986,600000
run_617_dist-1e-05_beta0.0001_alpha0.01_trav500_blk1_temp1.0_eps-0.01,C-both,poli.ctxgo,0.05010833333333333,0.9967304473845996,11256,600000
run_617_dist-1e-05_beta0.0001_alpha0.01_trav500_blk1_temp1.0_eps-0.01,C-both,poli.go,0.05007166666666667,0.99998613417939,2969,600000
run_617_dist-1e-05_beta0.0001_alpha0.01_trav500_blk1_temp1.0_eps-0.01,C-both,poli.dlyantigo,0.049951666666666665,0.999596182282477,17955,600000
run_617_dist-1e-05_beta0.0001_alpha0.01_trav500_blk1_temp1.0_eps-0.01,C-both,poli.antigo,0.049936666666666664,0.9998859499516592,6440,600000
run_617_dist-1e-05_beta0.0001_alpha0.01_trav500_blk1_temp1.0_eps-0.01,C-both,poli.antidlydm1,0.049815,0.8416990078520572,113135,600000
run_617_dist-1e-05_beta0.0001_alpha0.01_trav500_blk1_temp1.0_eps-0.01,C-both,poli.dm1,0.049765,0.9507006346926394,7973,600000
run_617_dist-1e-05_beta0.0001_alpha0.01_trav500_blk1_temp1.0_eps-0.01,C-both,poli.dlydm1,0.04970666666666667,0.8592594313405546,110691,600000
run_617_dist-1e-05_beta0.0001_alpha0.01_trav500_blk1_temp1.0_eps-0.01,C-both,poli.dlyantictxgo,0.049635,0.9999168195551617,17989,600000
run_617_dist-1e-05_beta0.0001_alpha0.01_trav500_blk1_temp1.0_eps-0.01,C-both,poli.catdlynms,0.049536666666666666,0.9805848470302644,19320,600000
run_617_dist-1e-05_beta0.0001_alpha0.01_trav500_blk1_temp1.0_eps-0.01,C-both,poli.antidm1,0.049523333333333336,0.962057913197193,14528,600000
run_617_dist-1e-05_beta0.0001_alpha0.01_trav500_blk1_temp1.0_eps-0.01,C-both,poli.dlygo,0.04951333333333333,0.9967161841447956,11684,600000
run_617_dist-1e-05_beta0.0001_alpha0.01_trav500_blk1_temp1.0_eps-0.01,C-both,poli.dm2,0.049475,0.9444432637303593,16377,600000
run_629_dist-1e-05_beta0.0001_alpha0.1_trav500_blk1_temp1.0_eps-0.01,C-both,poli.dlyms,0.05121166666666667,0.988821517257235,5074,600000
run_629_dist-1e-05_beta0.0001_alpha0.1_trav500_blk1_temp1.0_eps-0.01,C-both,poli.rtantictxgo,0.05102,0.9999999999999994,2968,600000
run_629_dist-1e-05_beta0.0001_alpha0.1_trav500_blk1_temp1.0_eps-0.01,C-both,poli.ctxgo,0.05089,0.9989541448599178,11630,600000
run_629_dist-1e-05_beta0.0001_alpha0.1_trav500_blk1_temp1.0_eps-0.01,C-both,poli.antictxgo,0.050865,0.9999849236806722,4868,600000
run_629_dist-1e-05_beta0.0001_alpha0.1_trav500_blk1_temp1.0_eps-0.01,C-both,poli.dlyctxgo,0.05083833333333333,0.998972076185406,14492,600000
run_629_dist-1e-05_beta0.0001_alpha0.1_trav500_blk1_temp1.0_eps-0.01,C-both,poli.dlyantigo,0.05050333333333333,0.9999581166007392,22624,600000
run_629_dist-1e-05_beta0.0001_alpha0.1_trav500_blk1_temp1.0_eps-0.01,C-both,poli.rtgo,0.050405,0.9999999999999994,2040,600000
run_629_dist-1e-05_beta0.0001_alpha0.1_trav500_blk1_temp1.0_eps-0.01,C-both,poli.antigo,0.05031,0.9999781405808384,5540,600000
run_629_dist-1e-05_beta0.0001_alpha0.1_trav500_blk1_temp1.0_eps-0.01,C-both,poli.go,0.050243333333333334,0.9998973539232906,3207,600000
run_629_dist-1e-05_beta0.0001_alpha0.1_trav500_blk1_temp1.0_eps-0.01,C-both,poli.dlynms,0.05012166666666667,0.99323041786571,5390,600000
run_629_dist-1e-05_beta0.0001_alpha0.1_trav500_blk1_temp1.0_eps-0.01,C-both,poli.dlygo,0.05011,0.9999986930162202,11571,600000
run_629_dist-1e-05_beta0.0001_alpha0.1_trav500_blk1_temp1.0_eps-0.01,C-both,poli.catdlyms,0.05000333333333333,0.9692542192401186,10606,600000
run_629_dist-1e-05_beta0.0001_alpha0.1_trav500_blk1_temp1.0_eps-0.01,C-both,poli.catdlynms,0.049715,0.9843304152843968,13571,600000
run_629_dist-1e-05_beta0.0001_alpha0.1_trav500_blk1_temp1.0_eps-0.01,C-both,poli.multidm,0.049666666666666665,0.9758957582396576,5800,600000
run_629_dist-1e-05_beta0.0001_alpha0.1_trav500_blk1_temp1.0_eps-0.01,C-both,poli.dlyantictxgo,0.04935666666666667,0.9959496276951736,22534,600000
run_629_dist-1e-05_beta0.0001_alpha0.1_trav500_blk1_temp1.0_eps-0.01,C-both,poli.antidm1,0.04933,0.9526668656382532,23305,600000
run_629_dist-1e-05_beta0.0001_alpha0.1_trav500_blk1_temp1.0_eps-0.01,C-both,poli.dlydm1,0.04916333333333334,0.8608418803268825,121641,600000
run_629_dist-1e-05_beta0.0001_alpha0.1_trav500_blk1_temp1.0_eps-0.01,C-both,poli.dm2,0.049008333333333334,0.9384202190089426,23372,600000
run_629_dist-1e-05_beta0.0001_alpha0.1_trav500_blk1_temp1.0_eps-0.01,C-both,poli.antidlydm1,0.048735,0.8713131802071155,123003,600000
run_629_dist-1e-05_beta0.0001_alpha0.1_trav500_blk1_temp1.0_eps-0.01,C-both,poli.dm1,0.048503333333333336,0.9570337198616335,9027,600000
run_631_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp0.001,C-reg,poli.dlyctxgo,0.091845,0.9990225766452951,14020,600000
run_631_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp0.001,C-reg,poli.dlygo,0.091055,0.9999942581973666,7110,600000
run_631_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp0.001,C-reg,poli.dlyantictxgo,0.08384833333333333,0.9999999897332218,27503,600000
run_631_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp0.001,C-reg,poli.antictxgo,0.07908,0.9999999332310532,3383,600000
run_631_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp0.001,C-reg,poli.ctxgo,0.07175166666666667,0.9999999990401074,8482,600000
run_631_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp0.001,C-reg,poli.dlyantigo,0.06977166666666666,0.9999997722332522,27765,600000
run_631_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp0.001,C-reg,poli.go,0.06595833333333333,0.9999994069119936,3215,600000
run_631_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp0.001,C-reg,poli.dlyms,0.06025833333333333,0.9979588991035606,6830,600000
run_631_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp0.001,C-reg,poli.antigo,0.055983333333333336,0.9992914659597528,3456,600000
run_631_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp0.001,C-reg,poli.rtantictxgo,0.050008333333333335,0.9999999999996032,1889,600000
run_631_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp0.001,C-reg,poli.rtgo,0.042278333333333334,0.9999956487586928,2170,600000
run_631_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp0.001,C-reg,poli.multidm,0.03371166666666667,0.9927988151615752,5028,600000
run_631_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp0.001,C-reg,poli.dlynms,0.030573333333333334,0.997519859912192,9114,600000
run_631_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp0.001,C-reg,poli.catdlyms,0.027706666666666668,0.9678815953512632,9779,600000
run_631_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp0.001,C-reg,poli.catdlynms,0.026851666666666666,0.9850163439728336,21536,600000
run_631_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp0.001,C-reg,poli.dm1,0.02518,0.957465385204878,8205,600000
run_631_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp0.001,C-reg,poli.antidm1,0.025085,0.915072793397788,31402,600000
run_631_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp0.001,C-reg,poli.dm2,0.023903333333333332,0.9414739018036464,54513,600000
run_631_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp0.001,C-reg,poli.antidlydm1,0.022606666666666667,0.8122308324299052,321071,600000
run_631_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp0.001,C-reg,poli.dlydm1,0.022543333333333332,0.7721984932722927,326613,600000
