density,modularity,modularity_louvain,modularity_leiden,efficiency,rich_club,small_worldness,participation,full_id,dataset,age
0.135,0.5099476312105147,0.5099476312105147,0.5204080263176255,0.6355995364125482,1.4115803757043563,-0.09983789307163204,0.3148909422092634,Subj_691,HCPya,27.0
0.135,0.5532936629195767,0.5532936629195767,0.55352521659258,0.6190073063374335,1.268723933255062,-0.10792610675077963,0.3745335876756882,Subj_692,HCPya,30.0
0.135,0.5441821895075646,0.5441821895075646,0.5473039636864714,0.5823938070608907,1.5589949717466978,-0.1046285484881676,0.35770447170257896,Subj_693,HCPya,33.0
0.135,0.5694386431891119,0.5694386431891119,0.5689408498885029,0.5951354428501188,1.3387554004144417,-0.07381556911423448,0.3728307153341911,Subj_694,HCPya,29.0
0.135,0.5343790672823712,0.5343790672823712,0.5385812265821639,0.5913091306456325,1.4558561846495393,-0.1190670768383787,0.29340913331082374,Subj_695,HCPya,31.0
0.135,0.5531272313029437,0.5531272313029437,0.5492955888360815,0.5934292223750705,1.4461787493951275,-0.12178528919374021,0.2782102957514814,Subj_696,HCPya,26.0
0.135,0.5990235847385057,0.5990235847385057,0.600732422421653,0.5830973751922951,1.608199824485947,-0.1389873506478051,0.2597539736176113,Subj_697,HCPya,25.0
0.135,0.5838516082545768,0.5838516082545768,0.590334914579607,0.577994026571302,1.3693819200832167,-0.16827989281827238,0.27450388963148525,Subj_698,HCPya,34.0
0.135,0.5596068431213594,0.5596068431213594,0.5653322868635937,0.6102921992031763,1.277707175537288,-0.10261182570772465,0.30384813364473573,Subj_699,HCPya,26.0
0.135,0.5458236251288727,0.5458236251288727,0.5450233626319814,0.6231934192297237,1.4027134177418805,-0.15159837514305152,0.3870475731583049,Subj_700,HCPya,32.0
0.135,0.6011225252871049,0.6011225252871049,0.6001971541302659,0.5776249336188274,1.2575770825769426,-0.11172572342607245,0.35346252940216466,Subj_701,HCPya,30.0
0.135,0.5186623438458773,0.5186623438458773,0.5283457642725872,0.5949812243720569,1.342272598788609,-0.04879273432068032,0.3135730094236458,Subj_702,HCPya,29.0
0.135,0.5508945719279164,0.5508945719279164,0.5520314142037261,0.5582269322381297,1.5380911915433888,-0.11478493845626614,0.30239879190361557,Subj_703,HCPya,22.0
0.135,0.5634468535007412,0.5634468535007412,0.5639628645887274,0.5651942211599232,1.3593470348296377,-0.10861723144257995,0.3250748683173933,Subj_704,HCPya,33.0
0.135,0.551890549055737,0.551890549055737,0.5529608247428627,0.6168894728648276,1.4413847083893496,-0.1098977697837048,0.33213953165740134,Subj_705,HCPya,29.0
0.135,0.5569443732649589,0.5569443732649589,0.5489524346900848,0.5820232607739123,1.4601525329078726,-0.03527091192640208,0.3568212629145798,Subj_706,HCPya,33.0
0.135,0.532971698510532,0.532971698510532,0.5416955322534169,0.5965086382151121,1.3767959320617342,-0.07908328203049253,0.34527594908465065,Subj_707,HCPya,32.0
0.135,0.5692538704536706,0.5692538704536706,0.5741737929419649,0.6102045916407137,1.3433771280674949,-0.18460920857207763,0.2987921404510217,Subj_708,HCPya,33.0
0.135,0.5569993000642108,0.5569993000642108,0.5704800028505947,0.5801787683846206,1.2758970129686609,-0.12820736234872032,0.34035175700349446,Subj_709,HCPya,34.0
0.135,0.5519106352316704,0.5519106352316704,0.5520191626472353,0.6071756841912008,1.2637107586014413,-0.09869782481543155,0.3912749432737384,Subj_710,HCPya,23.0
0.135,0.5407988634088859,0.5407988634088859,0.5498263786419404,0.5985924646530203,1.4219198051473636,-0.0545517828363673,0.35331509554611373,Subj_711,HCPya,23.0
0.135,0.5507426246778607,0.5507426246778607,0.5474769260101006,0.5836890472860699,1.4617689173558237,-0.1260260753239253,0.3558385091220396,Subj_712,HCPya,25.0
0.135,0.5234201626122104,0.5234201626122104,0.5397363837875675,0.582995849391772,1.3882368709979838,-0.1351181573708763,0.2723532058432513,Subj_713,HCPya,28.0
0.135,0.5387358955962313,0.5387358955962313,0.5422987715289348,0.6049297936973579,1.331165037651902,-0.12433887172361557,0.38272211983050775,Subj_714,HCPya,27.0
0.135,0.5527726738557913,0.5527726738557913,0.5590404306100714,0.596228450831662,1.4350100959181329,-0.07217358682442743,0.38456041158319043,Subj_715,HCPya,26.0
0.135,0.5343772380057211,0.5343772380057211,0.5393466950863512,0.5776742822495321,1.4453245253368467,-0.057021647120223284,0.3497587643905005,Subj_716,HCPya,30.0
0.135,0.5470279476651118,0.5470279476651118,0.5311173621749335,0.5910626248468602,1.4618327701353824,-0.09376739371697307,0.35877627826630304,Subj_717,HCPya,30.0
0.135,0.5634014890986603,0.5634014890986603,0.5577772793677026,0.6309927443626754,1.3833798941972648,-0.12643683249775328,0.3219071545801047,Subj_718,HCPya,24.0
0.135,0.5909240095248826,0.5909240095248826,0.5913509650187398,0.6056999359543606,1.3881719777891344,-0.1341539463553345,0.3211841692192952,Subj_719,HCPya,33.0
0.135,0.5621950718261873,0.5621950718261873,0.5617418628141935,0.5827732607808622,1.3738967510148485,-0.06190141780681102,0.3470596656683737,Subj_720,HCPya,26.0
