density,modularity,modularity_louvain,modularity_leiden,efficiency,rich_club,small_worldness,participation,run_id,path
0.135,0.19270668863553175,0.19270668863553175,0.19692769950471656,0.32199220706602427,1.1682924392981597,0.10553807609485388,0.2897467743934374,run_038_l1-0.0001_beta0.0001_alpha0.03_trav50_blk1_temp0.0001,/imaging/astle/fp02/logs/sweep/forage_v5.1/forage_v6/run_038_l1-0.0001_beta0.0001_alpha0.03_trav50_blk1_temp0.0001
0.135,0.2783362152533947,0.2783362152533947,0.2818767402605565,0.35309857662608496,1.0225831783822286,0.3472354110084026,0.3982430745626327,run_039_l1-0.0001_beta0.0001_alpha0.03_trav50_blk1_temp1.0,/imaging/astle/fp02/logs/sweep/forage_v5.1/forage_v6/run_039_l1-0.0001_beta0.0001_alpha0.03_trav50_blk1_temp1.0
0.135,0.2670553353639926,0.2670553353639926,0.26672944262552745,0.26618093124352016,1.0476327162816585,0.0911656988312386,0.2790279963451474,run_040_l1-0.0001_beta0.0001_alpha0.1_trav50_blk1_temp0.0001,/imaging/astle/fp02/logs/sweep/forage_v5.1/forage_v6/run_040_l1-0.0001_beta0.0001_alpha0.1_trav50_blk1_temp0.0001
0.135,0.2520590166113296,0.2520590166113296,0.2649475099311399,0.41814576459132685,1.0261201068786363,0.42708125786196904,0.45437761019734163,run_041_l1-0.0001_beta0.0001_alpha0.1_trav50_blk1_temp1.0,/imaging/astle/fp02/logs/sweep/forage_v5.1/forage_v6/run_041_l1-0.0001_beta0.0001_alpha0.1_trav50_blk1_temp1.0
0.135,0.13105137420972052,0.13105137420972052,0.13399333820272935,0.21347120008898401,1.0034679394641848,0.00028794673371601576,0.2654193549906615,run_042_l1-0.0001_beta0.001_alpha0.01_trav50_blk1_temp0.0001,/imaging/astle/fp02/logs/sweep/forage_v5.1/forage_v6/run_042_l1-0.0001_beta0.001_alpha0.01_trav50_blk1_temp0.0001
0.135,0.24004523436569264,0.24004523436569264,0.2509147265379664,0.37474696509252353,1.0607721158955041,0.2927603263776908,0.4166249204971736,run_043_l1-0.0001_beta0.001_alpha0.01_trav50_blk1_temp1.0,/imaging/astle/fp02/logs/sweep/forage_v5.1/forage_v6/run_043_l1-0.0001_beta0.001_alpha0.01_trav50_blk1_temp1.0
0.135,0.2790235529412535,0.2790235529412535,0.2754102315151421,0.2802925442097178,1.0510306295453025,0.05443288327295237,0.1751570256030005,run_044_l1-0.0001_beta0.001_alpha0.03_trav50_blk1_temp0.0001,/imaging/astle/fp02/logs/sweep/forage_v5.1/forage_v6/run_044_l1-0.0001_beta0.001_alpha0.03_trav50_blk1_temp0.0001
0.135,0.2432476335233824,0.2432476335233824,0.24949949802038746,0.36140383881362087,1.0397821783864811,0.3107020026013838,0.4492591658868303,run_045_l1-0.0001_beta0.001_alpha0.03_trav50_blk1_temp1.0,/imaging/astle/fp02/logs/sweep/forage_v5.1/forage_v6/run_045_l1-0.0001_beta0.001_alpha0.03_trav50_blk1_temp1.0
0.135,0.2529115350983014,0.2529115350983014,0.24968413731342698,0.28230578464973793,1.0473944037768503,0.033053317772291146,0.19310260039801883,run_046_l1-0.0001_beta0.001_alpha0.1_trav50_blk1_temp0.0001,/imaging/astle/fp02/logs/sweep/forage_v5.1/forage_v6/run_046_l1-0.0001_beta0.001_alpha0.1_trav50_blk1_temp0.0001
0.135,0.2557103906592584,0.2557103906592584,0.25541132242913206,0.3330942176523943,1.066564981802466,0.29184534487297065,0.405850703274025,run_047_l1-0.0001_beta0.001_alpha0.1_trav50_blk1_temp1.0,/imaging/astle/fp02/logs/sweep/forage_v5.1/forage_v6/run_047_l1-0.0001_beta0.001_alpha0.1_trav50_blk1_temp1.0
0.135,0.2352453776028022,0.2352453776028022,0.24085881914416735,0.27506899873494717,1.0335709348124718,0.007450174197908499,0.2768017806040694,run_048_l1-0.0001_beta0.003_alpha0.01_trav50_blk1_temp0.0001,/imaging/astle/fp02/logs/sweep/forage_v5.1/forage_v6/run_048_l1-0.0001_beta0.003_alpha0.01_trav50_blk1_temp0.0001
0.135,0.26068250320974107,0.26068250320974107,0.26692041590457805,0.3951965075315733,1.0471141913296813,0.3876167364119283,0.4330173522110413,run_049_l1-0.0001_beta0.003_alpha0.01_trav50_blk1_temp1.0,/imaging/astle/fp02/logs/sweep/forage_v5.1/forage_v6/run_049_l1-0.0001_beta0.003_alpha0.01_trav50_blk1_temp1.0
0.135,0.31005593762920125,0.31005593762920125,0.31079450023249955,0.2637924215738483,1.0603910213201053,0.034101080359687175,0.2062248697350112,run_050_l1-0.0001_beta0.003_alpha0.03_trav50_blk1_temp0.0001,/imaging/astle/fp02/logs/sweep/forage_v5.1/forage_v6/run_050_l1-0.0001_beta0.003_alpha0.03_trav50_blk1_temp0.0001
0.135,0.26956160261921686,0.26956160261921686,0.2607835333260645,0.4074507264264686,1.029103685720235,0.42368128203138256,0.38194516980606663,run_051_l1-0.0001_beta0.003_alpha0.03_trav50_blk1_temp1.0,/imaging/astle/fp02/logs/sweep/forage_v5.1/forage_v6/run_051_l1-0.0001_beta0.003_alpha0.03_trav50_blk1_temp1.0
0.135,0.24072909924828334,0.24072909924828334,0.24544834971446505,0.2776748900476663,1.030815439668137,0.02140572017888287,0.2288005585428376,run_052_l1-0.0001_beta0.003_alpha0.1_trav50_blk1_temp0.0001,/imaging/astle/fp02/logs/sweep/forage_v5.1/forage_v6/run_052_l1-0.0001_beta0.003_alpha0.1_trav50_blk1_temp0.0001
