"dataset","subj_id","nseq","ntrialseq","ntrialsubj","event","D","I","H"
"MPI",4,0,1,2,0,0.0294468445267842,1.32192809488736,1.79248125036058
"MPI",4,0,2,3,0,0.0147718639657485,1,1.66449777920046
"MPI",4,0,3,4,0,0.00855998136220558,0.807354922057604,1.5487949406954
"MPI",4,0,4,5,0,0.00543126911355016,0.678071905112638,1.44661666762821
"MPI",4,0,5,6,0,0.00367160149046366,0.584962500721156,1.35677964944704
"MPI",4,0,6,7,0,0.00260198748089857,0.514573172829758,1.27761343681912
"MPI",4,0,7,8,0,0.00191286899787533,0.459431618637297,1.20751874963942
"MPI",4,0,8,9,0,0.00144823907625648,0.415037499278844,1.14511041438158
"MPI",4,0,9,10,1,0.00112327902986537,0.37851162325373,1.08923007884258
"MPI",4,4,0,11,0,0.0780719051126377,2,1.92192809488736
"MPI",4,4,1,12,0,0.0702989274995394,2.32192809488736,1.91829583405449
"MPI",4,4,2,13,0,0.0283057932583333,1.58496250072116,1.84237099317711
"MPI",4,4,3,14,0,0.0148736716970261,1.22239242133645,1.75
"MPI",4,4,4,15,0,0.00892394016177786,1,1.65774272650489
"MPI",4,4,5,16,1,0.00581755005522627,0.84799690655495,1.57095059445467
"MPI",4,6,0,17,0,0.0780719051126377,2,1.92192809488736
"MPI",4,6,1,18,0,0.0294468445267842,1.32192809488736,1.79248125036058
"MPI",4,6,2,19,1,0.0633218643778377,2.58496250072116,1.84237099317711
"MPI",4,7,0,20,0,0.0780719051126377,2,1.92192809488736
"MPI",4,7,1,21,0,0.0294468445267842,1.32192809488736,1.79248125036058
"MPI",4,7,2,22,0,0.0633218643778377,2.58496250072116,1.84237099317711
"MPI",4,7,3,23,0,0.0573549220576041,2.8073549220576,1.90563906222957
"MPI",4,7,4,24,1,0.0145361093482848,1.41503749927884,1.83659166810898
"MPI",4,8,0,25,0,0.0780719051126377,2,1.92192809488736
"MPI",4,8,1,26,0,0.0294468445267842,1.32192809488736,1.79248125036058
"MPI",4,8,2,27,0,0.0147718639657485,1,1.66449777920046
"MPI",4,8,3,28,1,0.00855998136220559,0.807354922057604,1.5487949406954
"MPI",4,9,0,29,0,0.0780719051126377,2,1.92192809488736
"MPI",4,9,1,30,0,0.0702989274995394,2.32192809488736,1.91829583405449
"MPI",4,9,2,31,0,0.0633218643778377,2.58496250072116,1.95021206491475
"MPI",4,9,3,32,0,0.0267158598280377,1.8073549220576,1.90563906222957
"MPI",4,9,4,33,0,0.0145361093482848,1.41503749927884,1.83659166810898
"MPI",4,9,5,34,1,0.0479969065549502,3.16992500144231,1.92192809488736
"MPI",4,13,0,35,0,0.0780719051126377,2,1.92192809488736
"MPI",4,13,1,36,0,0.0702989274995394,2.32192809488736,1.91829583405449
