"dataset","subj_id","nseq","ntrialseq","ntrialsubj","event","D","I","H"
"MPI",6,2,10,38,0,0.00179972207911885,0.637429920615292,1.42560519901694
"MPI",6,2,11,39,0,0.00142426818659878,0.584962500721156,1.37164076218686
"MPI",6,2,12,40,0,0.0301842175731901,4,1.49606591154385
"MPI",6,2,13,41,0,0.00122509453059963,0.628031222613042,1.44661666762821
"MPI",6,2,14,42,1,0.00100821570710418,0.584962500721156,1.40025823261021
"MPI",6,4,0,43,0,0.0780719051126377,2,1.92192809488736
"MPI",6,4,1,44,0,0.0702989274995394,2.32192809488736,1.91829583405449
"MPI",6,4,2,45,0,0.0283057932583333,1.58496250072116,1.84237099317711
"MPI",6,4,3,46,0,0.0148736716970261,1.22239242133645,1.75
"MPI",6,4,4,47,0,0.00892394016177786,1,1.65774272650489
"MPI",6,4,5,48,0,0.00581755005522627,0.84799690655495,1.57095059445467
"MPI",6,4,6,49,0,0.0443146580682469,3.32192809488736,1.68581570915303
"MPI",6,4,7,50,0,0.0041980303624025,0.874469117916141,1.61400546285422
"MPI",6,4,8,51,0,0.00307359977538463,0.777607578663552,1.54659356429494
"MPI",6,4,9,52,0,0.00232229701068887,0.700439718141092,1.48383170684469
"MPI",6,4,10,53,0,0.0337976597824188,3.8073549220576,1.60493559474313
"MPI",6,4,11,54,1,0.00189252901167483,0.736965594166206,1.5487949406954
"MPI",6,5,1,55,0,0.0780719051126377,2,1.92192809488736
"MPI",6,5,2,56,0,0.0702989274995394,2.32192809488736,1.91829583405449
"MPI",6,5,3,57,1,0.0283057932583333,1.58496250072116,1.84237099317711
"MPI",6,6,0,58,0,0.0780719051126377,2,1.92192809488736
"MPI",6,6,1,59,0,0.0294468445267842,1.32192809488736,1.79248125036058
"MPI",6,6,2,60,0,0.0633218643778377,2.58496250072116,1.84237099317711
"MPI",6,6,3,61,0,0.0148736716970261,1.22239242133645,1.75
"MPI",6,6,4,62,0,0.00892394016177786,1,1.65774272650489
"MPI",6,6,5,63,0,0.00581755005522628,0.84799690655495,1.57095059445467
"MPI",6,6,6,64,0,0.00401892619144097,0.736965594166206,1.49111485005519
"MPI",6,6,7,65,1,0.0411357845828078,3.4594316186373,1.61400546285422
"MPI",6,7,0,66,0,0.0780719051126377,2,1.92192809488736
"MPI",6,7,1,67,0,0.0294468445267842,1.32192809488736,1.79248125036058
"MPI",6,7,2,68,0,0.0633218643778377,2.58496250072116,1.84237099317711
"MPI",6,7,3,69,0,0.0573549220576041,2.8073549220576,1.90563906222957
"MPI",6,7,4,70,0,0.0145361093482848,1.41503749927884,1.83659166810898
"MPI",6,7,5,71,1,0.00896095399863129,1.16992500144231,1.76096404744368
"MPI",6,9,0,72,0,0.0780719051126377,2,1.92192809488736
"MPI",6,9,1,73,0,0.0702989274995394,2.32192809488736,1.91829583405449
"MPI",6,9,2,74,0,0.0633218643778377,2.58496250072116,1.95021206491475
"MPI",6,9,3,75,0,0.0267158598280377,1.8073549220576,1.90563906222957
