run_id,baseline_stay,reward_modulation,timescale_balance,fitted_alpha_hl,fitted_beta_hl,fitted_T,fitted_eps,beta0,beta1,std_X,aic,valid_mvt,n_decisions,n_fit,n_steps_total,config_alpha,config_beta,config_temp,config_l1,config_trav
run_2486_l1-0.0005_beta0.01_alpha0.03_trav50_blk1_temp0.005,0.8955175701244164,0.9849416678689812,0.00014283673760891302,1,7000,0.07279918942152483,-0.15640053511861557,-2.1483829196643773,-13.736416681918795,0.46176253140091317,29844.905861586554,True,600000,50000,5261651,0.03,0.01,0.005,0.0005,50.0
run_2493_l1-0.0005_beta0.01_alpha0.2_trav50_blk1_temp0.003_eps-0.01,0.8054686940016597,0.9999740742693,0.0625,1,15,0.01923293536029458,-0.027326755207683278,-1.4208312301666641,-51.99414344543836,0.23152171980260197,28050.249531092024,True,600000,50000,10288351,0.2,0.01,0.003,0.0005,50.0
run_2500_dist-1e-05_beta0.0001_alpha0.03_trav50_blk1_temp0.003,0.9811374323082604,0.4492817382536828,0.0625,1,15,0.030179706476275645,-0.11925611002690223,-3.9515331310677193,-33.134848438174934,0.11316746122098026,9766.62251244546,True,600000,50000,1854551,0.03,0.0001,0.003,,50.0
run_2508_dist-1e-05_beta0.0001_alpha0.2_trav50_blk1_temp0.003,0.9278244478443664,0.9998423639564644,0.00014283673760891302,1,7000,0.011598277782764992,-0.02961899943499472,-2.5537411665556475,-86.2196973317881,0.13123265936898224,22159.231251791083,True,600000,50000,4163451,0.2,0.0001,0.003,,50.0
run_2515_dist-1e-05_beta0.001_alpha0.01_trav50_blk1_temp0.005_eps-0.01,0.9880630747677328,0.022351681834256287,0.375,3,5,0.030744908353250527,-0.13577289661306102,-4.416109980002798,-32.525710875774145,0.02613336698090752,6712.200211431697,True,600000,50000,999451,0.01,0.001,0.005,,50.0
run_2522_dist-1e-05_beta0.001_alpha0.1_trav50_blk1_temp0.005,0.871876653498772,0.9995910927779164,0.0006662225183211193,1,1500,0.014186278460625387,-0.02720438097001759,-1.91765451704085,-70.49065072108532,0.13818356660390252,30867.91346911732,True,600000,50000,5880551,0.1,0.001,0.005,,50.0
run_252_l1-1e-05_beta0.001_alpha0.01_trav50_blk1_temp0.0001_eps-0.01,0.9998711936722212,2.2328075454991492e-05,0.0625,1,15,0.37883006073932846,-3.393208054858548,-8.957071802159337,-2.6397060414065088,0.03279763225044729,189.0726632956448,True,600000,50000,605701,0.01,0.001,0.0001,1e-05,50.0
run_2537_dist-1e-05_beta0.003_alpha0.1_trav50_blk1_temp0.003_eps-0.01,0.9867392480257112,0.8442494748060647,0.0625,1,15,0.016389675825885543,-0.07063289981902252,-4.3095971250063565,-61.01401947319903,0.09833875925598724,7696.215448644264,True,600000,50000,1641001,0.1,0.003,0.003,,50.0
run_2544_dist-1e-05_beta0.01_alpha0.01_trav50_blk1_temp0.003,0.9917746526621513,0.00012469736412157317,0.00014283673760891302,1,7000,27.275120241597715,-130.70988753506288,-4.792275391538519,-0.03666344973522369,0.20845997412827869,4768.995203420754,True,600000,50000,850951,0.01,0.01,0.003,,50.0
run_2551_dist-1e-05_beta0.01_alpha0.03_trav50_blk1_temp0.005_eps-0.01,0.9661988925441881,0.1391705183594828,0.09090909090909091,1,10,0.07497984780404446,-0.25139814260843035,-3.35287613900531,-13.336916908839862,0.11911770173601081,15637.381195103839,True,600000,50000,2136051,0.03,0.01,0.005,,50.0
