run_id,numeric_id,beta,alpha,temp,reg_type,reg_value,travel,eps,norm_dist_network,cohort
run_2983_dist-1e-05_beta0.003_alpha0.03_trav500_blk1_temp0.005_eps-0.01,2983,0.003,0.03,0.005,Distance,1e-05,500,-0.01,0.8083165589675395,C-reg
run_631_dist-1e-05_beta0.001_alpha0.01_trav500_blk1_temp0.001,631,0.001,0.01,0.001,Distance,1e-05,500,0.0,0.8417160018647082,C-reg
run_2540_dist-1e-05_beta0.003_alpha0.2_trav50_blk1_temp0.003,2540,0.003,0.2,0.003,Distance,1e-05,50,0.0,0.7881248841770573,C-reg
run_061_dist-1e-05_beta0.001_alpha0.01_trav50_blk1_temp1.0,61,0.001,0.01,1.0,Distance,1e-05,50,0.0,0.8387824743061896,C-both
run_069_dist-1e-05_beta0.003_alpha0.03_trav50_blk1_temp1.0,69,0.003,0.03,1.0,Distance,1e-05,50,0.0,0.8785407450587237,C-both
run_641_dist-1e-05_beta0.001_alpha0.03_trav500_blk1_temp1.0_eps-0.01,641,0.001,0.03,1.0,Distance,1e-05,500,-0.01,0.8648489656582624,C-both
run_1158_dist-1e-05_beta0.0001_alpha0.2_trav50_blk1_temp1.0,1158,0.0001,0.2,1.0,Distance,1e-05,50,0.0,0.8400544899088717,C-both
run_067_dist-1e-05_beta0.003_alpha0.01_trav50_blk1_temp1.0,67,0.003,0.01,1.0,Distance,1e-05,50,0.0,0.8470785670511154,C-both
run_665_dist-1e-05_beta0.003_alpha0.1_trav500_blk1_temp1.0_eps-0.01,665,0.003,0.1,1.0,Distance,1e-05,500,-0.01,0.8750010314784749,C-both
run_1211_dist-1e-05_beta0.01_alpha0.03_trav50_blk1_temp1.0_eps-0.01,1211,0.01,0.03,1.0,Distance,1e-05,50,-0.01,0.8500141899451932,C-both
run_1220_dist-1e-05_beta0.01_alpha0.1_trav50_blk1_temp1.0,1220,0.01,0.1,1.0,Distance,1e-05,50,0.0,0.8605952457012493,C-both
run_629_dist-1e-05_beta0.0001_alpha0.1_trav500_blk1_temp1.0_eps-0.01,629,0.0001,0.1,1.0,Distance,1e-05,500,-0.01,0.8568145380615448,C-both
run_1934_dist-1e-05_beta0.001_alpha0.2_trav500_blk1_temp1.0,1934,0.001,0.2,1.0,Distance,1e-05,500,0.0,0.8140253685483525,C-both
run_071_dist-1e-05_beta0.003_alpha0.1_trav50_blk1_temp1.0,71,0.003,0.1,1.0,Distance,1e-05,50,0.0,0.8501205254968656,C-both
run_1951_dist-1e-05_beta0.003_alpha0.2_trav500_blk1_temp1.0_eps-0.01,1951,0.003,0.2,1.0,Distance,1e-05,500,-0.01,0.8838387738484709,C-both
